Number;FieldOfResearch;Level;LevelA_Number;LevelA_FieldOfResearch;LevelB_Number;LevelB_FieldOfResearch;FieldOfResearchVersion;Level1_Number;Level1_Discipline;Level2_Number;Level2_Discipline;Level3_Number;Level3_Discipline
3602;Creative and professional writing;2;36;Creative Arts and Writing;3602;Creative and professional writing;ANZSRC 2020;10000;Humanities and Social Sciences;NA;NA;NA;NA
4016;Materials engineering;2;40;Engineering;4016;Materials engineering;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20505;Material Sciences
3199;Other biological sciences;2;31;Biological Sciences;3199;Other biological sciences;ANZSRC 2020;30000;Biology and Medicine;30200;General Biology;NA;NA
5106;Nuclear and plasma physics;2;51;Physical Sciences;5106;Nuclear and plasma physics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20400;Physics;NA;NA
4011;Environmental engineering;2;40;Engineering;4011;Environmental engineering;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;NA;NA
3904;Specialist studies in education;2;39;Education;3904;Specialist studies in education;ANZSRC 2020;10000;Humanities and Social Sciences;10500;Psychology, educational studies;10104;Education and learning sciences, subject-specific education
4299;Other health sciences;2;42;Health Sciences;4299;Other health sciences;ANZSRC 2020;30000;Biology and Medicine;NA;NA;NA;NA
5002;History and philosophy of specific fields;2;50;Philosophy and Religious Studies;5002;History and philosophy of specific fields;ANZSRC 2020;10000;Humanities and Social Sciences;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;NA;NA
5110;Synchrotrons and accelerators;2;51;Physical Sciences;5110;Synchrotrons and accelerators;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20400;Physics;20403;Particle Physics
4303;Historical studies;2;43;History, Heritage and Archaeology;4303;Historical studies;ANZSRC 2020;10000;Humanities and Social Sciences;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;NA;NA
3106;Industrial biotechnology;2;31;Biological Sciences;3106;Industrial biotechnology;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;NA;NA
5103;Classical physics;2;51;Physical Sciences;5103;Classical physics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20400;Physics;NA;NA
3210;Nutrition and dietetics;2;32;Biomedical and Clinical Sciences;3210;Nutrition and dietetics;ANZSRC 2020;30000;Biology and Medicine;NA;NA;NA;NA
3403;Macromolecular and materials chemistry;2;34;Chemical Sciences;3403;Macromolecular and materials chemistry;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20300;Chemistry;20303;Inorganic Chemistry
3401;Analytical chemistry;2;34;Chemical Sciences;3401;Analytical chemistry;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20300;Chemistry;NA;NA
3705;Geology;2;37;Earth Sciences;3705;Geology;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20800;Earth Sciences;20801;Geology
3213;Paediatrics;2;32;Biomedical and Clinical Sciences;3213;Paediatrics;ANZSRC 2020;30000;Biology and Medicine;30700;Clinical Medicine;30707;Paediatrics
3406;Physical chemistry;2;34;Chemical Sciences;3406;Physical chemistry;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20300;Chemistry;20301;Physical Chemistry
4002;Automotive engineering;2;40;Engineering;4002;Automotive engineering;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20511;Other disciplines of Engineering Sciences
4008;Electrical engineering;2;40;Engineering;4008;Electrical engineering;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20504;Electrical Engineering
4101;Climate change impacts and adaptation;2;41;Environmental Sciences;4101;Climate change impacts and adaptation;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20700;Environmental Sciences;20704;Climatology. Atmospherical Chemistry, Aeronomy
4010;Engineering practice and education;2;40;Engineering;4010;Engineering practice and education;ANZSRC 2020;10000;Humanities and Social Sciences;10500;Psychology, educational studies;10104;Education and learning sciences, subject-specific education
4007;Control engineering, mechatronics and robotics;2;40;Engineering;4007;Control engineering, mechatronics and robotics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;NA;NA
5102;Atomic, molecular and optical physics;2;51;Physical Sciences;5102;Atomic, molecular and optical physics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;NA;NA;NA;NA
3499;Other chemical sciences;2;34;Chemical Sciences;3499;Other chemical sciences;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20300;Chemistry;NA;NA
4799;Other language, communication and culture;2;47;Language, Communication and Culture;4799;Other language, communication and culture;ANZSRC 2020;10000;Humanities and Social Sciences;NA;NA;NA;NA
51;Physical Sciences;1;51;Physical Sciences;NA;NA;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20400;Physics;20409;Other disciplines of Physics
4106;Soil sciences;2;41;Environmental Sciences;4106;Soil sciences;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20700;Environmental Sciences;20701;Pedology
3706;Geophysics;2;37;Earth Sciences;3706;Geophysics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20800;Earth Sciences;20802;Geophysics
4005;Civil engineering;2;40;Engineering;4005;Civil engineering;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20501;Civil Engineering
4702;Cultural studies;2;47;Language, Communication and Culture;4702;Cultural studies;ANZSRC 2020;10000;Humanities and Social Sciences;NA;NA;NA;NA
4611;Machine learning;2;46;Information and Computing Sciences;4611;Machine learning;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
4406;Human geography;2;44;Human Society;4406;Human geography;ANZSRC 2020;10000;Humanities and Social Sciences;10400;Ethnology, social and human geography;10206;Social geography and ecology
5202;Biological psychology;2;52;Psychology;5202;Biological psychology;ANZSRC 2020;10000;Humanities and Social Sciences;10500;Psychology, educational studies;10105;Psychology
4602;Artificial intelligence;2;46;Information and Computing Sciences;4602;Artificial intelligence;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
